,education_level,current_course_of_study,current_institution,place_of_residence,current_marks_type,current_marks_value,next_path,company_name,next_role,placement_status,next_course,next_institution,admission_status,interests,family_background,residence
45,High School,9th Grade,Telugu Medium School,Telangana,Percentage,55.9,Undecided,,,Not Placed Yet,10th Grade,Same School,Applied,Farming|Cricket|Folklore,Lower Income,Rural
46,Undergraduate,B.Tech (Chemical),ICT Mumbai,Maharashtra,CGPA,8.1,Job,Reliance Industries,Process Engineer,Placed,,,Placed,Petrochemicals|Safety Mgmt,Upper Income,Metro
47,Postgraduate,M.Sc (Statistics),ISI Kolkata,West Bengal,CGPA,9.0,Job,JP Morgan,Data Analyst,Placed,,,Placed,Quant Modeling|Finance,Upper Income,Urban
48,High School,11th Grade (Science),Navodaya Vidyalaya,Karnataka,Percentage,77.6,Undecided,,,Not Placed Yet,12th Grade (Science - PCM),Same School,Applied,Astronomy|Robotics|Math,Middle Income,Semi-Urban
49,Undergraduate,B.Com (Finance),St. Xavier's College,Mumbai,CGPA,7.9,Job,KPMG,Audit Associate,Placed,,,Placed,CA Prep|Investment|Excel,Upper Income,Metro
50,High School,12th Grade (Commerce - Math),Private School,Gujarat,Percentage,85.2,Higher Education,,,Not Placed Yet,BBA,NMIMS Mumbai,Applied,Entrepreneurship|Stock Markets,Middle Income,Urban
51,Postgraduate,M.Tech (Aerospace),IISc Bangalore,Karnataka,CGPA,9.2,Job,ISRO,Scientist/Engineer,Placed,,,Placed,Rocketry|Fluid Dynamics,Upper Income,Metro
52,Undergraduate,B.Sc (Agriculture),PAU Ludhiana,Punjab,CGPA,7.3,Job,Nestle,Quality Officer,Placed,,,Placed,Food Safety|Agri Tech,Middle Income,Semi-Urban
53,High School,8th Grade,Tribal Ashram School,Chhattisgarh,Percentage,42.8,Undecided,,,Not Placed Yet,9th Grade,Same School,Applied,Forest Produce|Archery,Lower Income,Rural
54,Undergraduate,B.A. (Journalism),Jamia Millia Islamia,Delhi,CGPA,7.5,Job,Times of India,Reporter,Placed,,,Placed,Writing|Photography|Politics,Middle Income,Metro
55,High School,12th Grade (Vocational - IT Networking),Govt. Polytechnic,Tamil Nadu,Percentage,73.1,Job,Local ISP,Network Assistant,Placed,,,Placed,Cabling|Router Config,Lower Income,Urban
56,Postgraduate,M.Sc (Biotech),University of Hyderabad,Telangana,CGPA,8.4,Job,Serum Institute,Bioprocess Engineer,Placed,,,Placed,Vaccine Research|Lab Work,Middle Income,Urban
57,Undergraduate,B.Tech (IT),VIT Vellore,Tamil Nadu,CGPA,7.8,Job,Infosys,System Engineer,Placed,,,Placed,Cloud Computing|Cybersecurity,Middle Income,Semi-Urban
58,High School,10th Grade,Govt. Urdu Medium School,Jammu,Percentage,59.1,Undecided,,,Not Placed Yet,11th Grade (Vocational - Carpentry),Same School,Applied,Woodwork|Calligraphy,Lower Income,Rural
59,Undergraduate,BDS,Private Dental College,Kerala,CGPA,6.9,Job,Local Clinic,Dentist,Placed,,,Placed,Oral Health|Surgery,Middle Income,Urban
60,High School,12th Grade (Science - Computer Science),Private School,Karnataka,Percentage,91.3,Higher Education,,,Not Placed Yet,B.Tech (CS),BITS Pilani,Applied,AI|Competitive Coding,Upper Income,Urban
61,Postgraduate,M.A. (English),St. Stephen's College,Delhi,CGPA,8.8,Job,Publishing House,Content Editor,Placed,,,Placed,Creative Writing|Poetry,Upper Income,Metro
62,Undergraduate,B.Sc (Physics),Fergusson College,Maharashtra,CGPA,7.6,Higher Education,,,Not Placed Yet,M.Sc (Physics),IIT Kanpur,Applied,Quantum Theory|Astrophysics,Middle Income,Urban
63,High School,11th Grade (Vocational - Electrical),Govt. ITI (Hindi Medium),Uttar Pradesh,Percentage,64.7,Job,Local Electrician,Apprentice,Placed,,,Placed,Wiring|Motor Repair,Lower Income,Semi-Urban
64,Undergraduate,BBA,Christ University,Bangalore,CGPA,8.3,Job,Flipkart,Operations Manager,Placed,,,Placed,E-commerce|Logistics,Upper Income,Metro
65,High School,12th Grade (Humanities),Rural Convent School,Kerala,Percentage,70.5,Higher Education,,,Not Placed Yet,B.A. (Sociology),Local College,Applied,Social Issues|Dance,Lower Income,Rural
66,Postgraduate,M.Tech (Data Science),IIIT Bangalore,Karnataka,CGPA,9.1,Job,Amazon,Data Scientist,Placed,,,Placed,ML|Big Data,Upper Income,Metro
67,Undergraduate,B.A. (Economics),Ashoka University,Haryana,CGPA,8.9,Job,McKinsey,Consultant,Placed,,,Placed,Policy|Case Studies,Upper Income,Semi-Urban
68,High School,9th Grade,Govt. Tamil Medium School,Puducherry,Percentage,51.2,Undecided,,,Not Placed Yet,10th Grade,Same School,Applied,Fishing|Dance|Cricket,Lower Income,Rural
69,Undergraduate,B.Tech (EEE),NIT Calicut,Kerala,CGPA,7.7,Job,Siemens,Control Engineer,Placed,,,Placed,Automation|PLC Programming,Middle Income,Semi-Urban
70,High School,12th Grade (Science - PCM),Jawahar Navodaya Vidyalaya,Madhya Pradesh,Percentage,89.2,Higher Education,,,Not Placed Yet,B.Tech (Aerospace),IIT Madras,Applied,Space Tech|Astronomy|Robotics,Middle Income,Semi-Urban
71,Undergraduate,B.Sc (Forestry),Forest Research Institute,Uttarakhand,CGPA,7.5,Job,WWF India,Conservation Officer,Placed,,,Placed,Wildlife|Ecology|Field Work,Middle Income,Semi-Urban
72,Postgraduate,M.Tech (Robotics),IIT Kanpur,Uttar Pradesh,CGPA,9.0,Job,Tesla,Robotics Engineer,Placed,,,Placed,AI|Automation|Control Systems,Upper Income,Urban
73,High School,10th Grade,Govt. Tribal School,Chhattisgarh,Percentage,49.3,Undecided,,,Not Placed Yet,11th Grade (Vocational - Carpentry),Same School,Applied,Woodwork|Bamboo Craft|Archery,Lower Income,Rural
74,Undergraduate,B.A. (Film Studies),Whistling Woods International,Maharashtra,CGPA,7.8,Job,Bollywood Production House,Assistant Director,Placed,,,Placed,Cinematography|Scriptwriting,Upper Income,Metro
75,High School,12th Grade (Commerce - Accounts),Private School (Gujarati Medium),Gujarat,Percentage,78.4,Higher Education,,,Not Placed Yet,B.Com (Hons),NMIMS Mumbai,Applied,CA Prep|Stock Markets,Middle Income,Urban
76,Undergraduate,B.Tech (Biomedical),VIT Vellore,Tamil Nadu,CGPA,8.2,Job,Medtronic,Medical Device Engineer,Placed,,,Placed,Healthcare Tech|Lab Research,Middle Income,Semi-Urban
77,Postgraduate,M.Sc (Geology),IIT (ISM) Dhanbad,Jharkhand,CGPA,8.6,Job,ONGC,Geologist,Placed,,,Placed,Mineral Exploration|Field Surveys,Upper Income,Semi-Urban
78,High School,9th Grade,Rural Ashram School (Odia Medium),Odisha,Percentage,46.8,Undecided,,,Not Placed Yet,10th Grade,Same School,Applied,Fishing|Traditional Dance,Lower Income,Rural
79,Undergraduate,B.Pharm,BITS Pilani,Rajasthan,CGPA,8.7,Job,Dr. Reddy's Labs,Drug Formulation Specialist,Placed,,,Placed,Pharma Research|Healthcare,Upper Income,Semi-Urban
80,High School,11th Grade (Vocational - Agriculture),Krishi Vigyan Kendra,Karnataka,Percentage,67.3,Job,Local Agri Co-op,Field Assistant,Placed,,,Placed,Organic Farming|Soil Testing,Lower Income,Rural
81,Undergraduate,B.Des (Product),NID Ahmedabad,Gujarat,CGPA,8.4,Job,Apple,Product Designer,Placed,,,Placed,UX Design|Prototyping,Upper Income,Urban
82,Postgraduate,MBA (Operations),IIM Calcutta,West Bengal,CGPA,8.9,Job,Amazon,Supply Chain Manager,Placed,,,Placed,Logistics|Process Optimization,Upper Income,Metro
83,High School,12th Grade (Arts - Psychology),Rural Convent School,Kerala,Percentage,71.9,Higher Education,,,Not Placed Yet,B.A. (Psychology),Local College,Applied,Counseling|Mental Health,Lower Income,Rural
86,Postgraduate,M.A. (Public Policy),Ashoka University,Haryana,CGPA,8.8,Job,NITI Aayog,Policy Analyst,Placed,,,Placed,Governance|Data Analysis,Upper Income,Semi-Urban
87,Undergraduate,B.Sc (Horticulture),PAU Ludhiana,Punjab,CGPA,6.9,Job,Local Nursery,Horticulturist,Placed,,,Placed,Gardening|Plant Breeding,Lower Income,Semi-Urban
91,Undergraduate,B.Tech (Metallurgy),IIT BHU,Uttar Pradesh,CGPA,8.3,Job,Tata Steel,Metallurgist,Placed,,,Placed,Material Science|Quality Control,Upper Income,Urban
320,High School,10th Grade,Kendriya Vidyalaya,Delhi,Percentage,82.5,Undecided,,,Not Placed Yet,11th Grade (Science),Same School,Applied,Science|Computers|Sports|Reading,Middle Income,Urban
321,Undergraduate,B.Tech (Computer Science),IIT Bombay,Mumbai,CGPA,8.9,Job,Google,Software Engineer,Placed,,,Placed,Coding|AI/ML|Problem Solving|Gaming,Upper Income,Metro
322,Postgraduate,M.Sc (Physics),University of Delhi,Delhi,Percentage,76.0,Higher Education,,,Not Placed Yet,PhD (Astrophysics),TIFR Mumbai,Applied,Research|Cosmology|Teaching|Music,Middle Income,Urban
323,High School,12th Grade (Science - Math),DPS Bangalore,Bangalore,Percentage,91.2,Higher Education,,,Not Placed Yet,B.Tech (Computer Science),IIT Delhi,Applied,Engineering|Mathematics|Physics|Innovation,Upper Income,Metro
324,Undergraduate,B.A. (English Literature),St. Stephen's College,Delhi,CGPA,7.8,Higher Education,,,Not Placed Yet,M.A. (English Literature),Oxford University,Applied,Literary Criticism|Creative Writing|Teaching,Upper Income,Urban
325,Intermediate,9th Grade,St. Mary's School,Chennai,Percentage,78.3,Undecided,,,Not Placed Yet,10th Grade,Same School,Applied,Sports|Drawing|Local History|Reading,Middle Income,Semi-Urban
326,Postgraduate,MBA (Marketing),IIM Bangalore,Bangalore,CGPA,8.5,Job,Unilever,Brand Manager,Placed,,,Placed,Marketing Strategy|Leadership|Networking,Upper Income,Metro
327,High School,12th Grade (Commerce),SRM University,Chennai,Percentage,85.6,Higher Education,,,Not Placed Yet,B.Com (Hons),Delhi University,Applied,Finance|Entrepreneurship|Debate,Middle Income,Urban
328,Undergraduate,B.Sc (Biotechnology),VIT Vellore,Vellore,CGPA,8.1,Higher Education,,,Not Placed Yet,M.Sc (Biotechnology),IISc Bangalore,Applied,Genetics|Lab Work|Research,Upper Income,Semi-Urban
329,High School,11th Grade (Science),FIITJEE Coaching,Delhi,Percentage,89.7,Undecided,,,Not Placed Yet,12th Grade (Science - PCM),Same Institution,Applied,JEE Preparation|Physics|Mathematics,Middle Income,Metro
330,Undergraduate,B.Arch (Architecture),CEPT University,Ahmedabad,CGPA,7.9,Job,Architectural Design Studio,Junior Architect,Placed,,,Placed,Design|Urban Planning|Sketching,Upper Income,Urban
331,Postgraduate,M.Tech (Environmental Engineering),IIT Bombay,Mumbai,CGPA,8.7,Job,TERI,Environmental Consultant,Placed,,,Placed,Sustainability|Climate Change|Research,Upper Income,Metro
332,High School,12th Grade (Vocational - IT),ITI Pune,Pune,Percentage,72.4,Job,Local IT Solutions,IT Support Technician,Placed,,,Placed,Networking|Hardware|Troubleshooting,Lower Income,Urban
333,Undergraduate,B.Pharm (Pharmacy),Jamia Hamdard,Delhi,CGPA,7.6,Higher Education,,,Not Placed Yet,M.Sc (Pharmaceutical Sciences),Same Institution,Applied,Drug Discovery|Healthcare|Research,Middle Income,Metro
334,Intermediate,8th Grade,Village Public School,Bihar,Percentage,65.8,Undecided,,,Not Placed Yet,9th Grade,Same School,Applied,Farming|Local Crafts|Sports,Lower Income,Rural
335,Postgraduate,M.A. (Economics),Delhi School of Economics,Delhi,Percentage,81.3,Job,World Bank,Research Analyst,Placed,,,Placed,Economic Policy|Data Analysis|Debate,Upper Income,Metro
336,Undergraduate,BBA (Business Administration),Symbiosis College,Pune,CGPA,8.4,Job,Reliance Retail,Management Trainee,Placed,,,Placed,Business|Leadership|Public Speaking,Upper Income,Urban
337,High School,12th Grade (Arts),Lady Shri Ram College,Delhi,Percentage,79.5,Higher Education,,,Not Placed Yet,B.A. (Psychology),Same Institution,Applied,Human Behavior|Counseling|Reading,Middle Income,Metro
338,Undergraduate,B.Tech (Electrical Engineering),NIT Warangal,Warangal,CGPA,8.2,Job,Siemens,Project Engineer,Placed,,,Placed,Circuit Design|Automation|Robotics,Upper Income,Semi-Urban
339,Postgraduate,M.Sc (Mathematics),Indian Statistical Institute,Kolkata,Percentage,88.9,Higher Education,,,Not Placed Yet,PhD (Pure Mathematics),Same Institution,Applied,Abstract Math|Research|Teaching,Middle Income,Urban
